X	Y	Z	I
-45.7492    	0000	136.3668    	746
-45.6802    	0000	136.3820    	734
-45.6229    	0000	136.4484    	793
-45.5644    	0000	136.5098    	731
-45.4989    	0000	136.5404    	735
-45.4403    	0000	136.6018    	803
-45.3840    	0000	136.6735    	730
-45.3207    	0000	136.7144    	728
-45.2608    	0000	136.7707    	797
-45.2033    	0000	136.8374    	741
-45.1387    	0000	136.8733    	734
-45.0776    	0000	136.9246    	764
-45.0211    	0000	136.9964    	688
-44.9600    	0000	137.0478    	708
-44.9023    	0000	137.1146    	791
-44.8422    	0000	137.1712    	727
-44.7775    	0000	137.2072    	717
-44.7197    	0000	137.2741    	785
-44.6595    	0000	137.3307    	743
-44.5947    	0000	137.3667    	752
-44.5368    	0000	137.4338    	811
-44.4788    	0000	137.5008    	725
-44.4140    	0000	137.5369    	725
-44.3537    	0000	137.5937    	804
-44.2956    	0000	137.6609    	720
-44.2307    	0000	137.6970    	714
-44.1725    	0000	137.7642    	791
-44.1167    	0000	137.8418    	734
-44.0596    	0000	137.9144    	813
-44.0014    	0000	137.9817    	762
-43.9374    	0000	138.0231    	765
-43.8780    	0000	138.0854    	812
-43.8106    	0000	138.1112    	788
-43.7511    	0000	138.1735    	717
-43.6949    	0000	138.2515    	773
-43.6376    	0000	138.3242    	713
-43.5814    	0000	138.4023    	800
-43.5240    	0000	138.4752    	751
-43.4587    	0000	138.5116    	751
-43.3990    	0000	138.5741    	813
-43.3427    	0000	138.6523    	756
-43.2784    	0000	138.6940    	757
-43.2197    	0000	138.7618    	818
-43.1621    	0000	138.8350    	753
-43.0978    	0000	138.8767    	744
-43.0457    	0000	138.9761    	743
-42.9801    	0000	139.0127    	740
-42.9224    	0000	139.0860    	793
-42.8657    	0000	139.1646    	743
-42.8035    	0000	139.2170    	737
-42.7512    	0000	139.3167    	717
-42.6866    	0000	139.3586    	716
-42.6276    	0000	139.4269    	794
-42.5718    	0000	139.5110    	753
-42.5149    	0000	139.5899    	830
-42.4547    	0000	139.6531    	767
-42.3877    	0000	139.6846    	768
-42.3274    	0000	139.7478    	819
-42.2681    	0000	139.8163    	745
-42.2033    	0000	139.8584    	739
-42.1440    	0000	139.9270    	794
